"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"TodoMVC React","Edit Todo","Edge case","0","0","1","1","0"
"TodoMVC React","Complete Todo","Toggle all","0","0","4","0","0"
"TodoMVC React","Add Todo","Happy path","0","0","2","0","0"
"TodoMVC React","Footer Counter","Footer visibility","0","0","2","0","0"
"TodoMVC React","Add Todo","Edge case","0","0","3","0","0"
"TodoMVC React","Delete Todo","Delete single","0","0","2","0","0"
"TodoMVC React","Add Todo","Parameterized","0","0","3","0","0"
"TodoMVC React","Delete Todo","Clear completed","2","0","1","0","0"
"TodoMVC React","Edit Todo","Edit text","0","0","2","1","0"
"TodoMVC React","Filter Todos","Filter + action","0","0","4","0","0"
"TodoMVC React","Footer Counter","Counter","0","0","4","0","0"
"TodoMVC React","Complete Todo","Complete single","0","0","2","0","0"
"TodoMVC React","Filter Todos","Active filter","0","0","1","0","0"
"TodoMVC React","Filter Todos","All filter","0","0","1","0","0"
"TodoMVC React","Filter Todos","Completed filter","0","0","1","0","0"
