"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 07 08:09:45 UTC 2026","Thu May 07 08:09:55 UTC 2026","10514","","Edit Todo","","com.todomvc.tests.EditTodoTest","editCompletedTodo","Completed todo can still be edited",""
"passed","Thu May 07 08:09:20 UTC 2026","Thu May 07 08:09:39 UTC 2026","18573","","Add Todo","","com.todomvc.tests.AddTodoTest","whitespaceOnlyDoesNotCreateTodo","Input with only whitespace does not create a todo",""
"passed","Thu May 07 08:09:17 UTC 2026","Thu May 07 08:09:48 UTC 2026","31297","","Complete / Uncomplete Todo","","com.todomvc.tests.CompleteTodoTest","toggleAllCheckedWhenAllManuallyCompleted","Toggle-all becomes checked when all items are individually completed",""
"passed","Thu May 07 08:09:18 UTC 2026","Thu May 07 08:09:53 UTC 2026","34563","","Filter Todos","","com.todomvc.tests.FilterTodoTest","clearCompletedOnCompletedFilterEmptiesList","Clearing completed while on Completed filter empties the list",""
"passed","Thu May 07 08:09:45 UTC 2026","Thu May 07 08:09:55 UTC 2026","10075","","Edit Todo","","com.todomvc.tests.EditTodoTest","editTodoAndSaveWithEnter","Double-clicking a todo allows editing and Enter saves the new text",""
"passed","Thu May 07 08:09:18 UTC 2026","Thu May 07 08:09:44 UTC 2026","26031","","Add Todo","","com.todomvc.tests.AddTodoTest","addMultipleTodos","Add multiple todo items sequentially",""
"passed","Thu May 07 08:09:20 UTC 2026","Thu May 07 08:09:45 UTC 2026","24070","","Footer items-left counter","","com.todomvc.tests.FooterCounterTest","counterIncrementsOnAdd","Counter increments with each new todo",""
"passed","Thu May 07 08:09:20 UTC 2026","Thu May 07 08:09:54 UTC 2026","33102","","Filter Todos","","com.todomvc.tests.FilterTodoTest","completedFilterEmptyWhenNoneCompleted","Completed filter is empty when no todos are completed",""
"passed","Thu May 07 08:09:21 UTC 2026","Thu May 07 08:09:47 UTC 2026","26660","","Complete / Uncomplete Todo","","com.todomvc.tests.CompleteTodoTest","toggleAllWhenAllCompletedUncompletes","Toggle-all uncompletes all when all are completed",""
"passed","Thu May 07 08:09:18 UTC 2026","Thu May 07 08:09:39 UTC 2026","21016","","Add Todo","","com.todomvc.tests.AddTodoTest","emptyInputDoescNotCreateTodo","Pressing Enter on empty input does not create a todo",""
"passed","Thu May 07 08:09:20 UTC 2026","Thu May 07 08:09:51 UTC 2026","30459","","Filter Todos","","com.todomvc.tests.FilterTodoTest","completedFilterShowsOnlyCompleted","'Completed' filter shows only completed todos",""
